parameter,value,unit,notes,data_confidence
free_laytime_days,4,days,"Updated from 2 to 4 days (96 hours) - the more common large-bulk-carrier charter-party standard, cross-referenced against another SIH26006 team's published assumption (github.com/Dhusyanth209/Maritime-Chartering-AI-SIH2026, which uses 4.0 days/96h); still not port- or contract-specific, so treat as a reasonable default rather than verified fact.",cross_referenced_secondary_source
cargo_transfer_cost_usd_per_tonne,1.5,USD/tonne,Stevedoring/handling cost at port,illustrative_placeholder
coking_coal_rail_rate_usd_per_tonne_km,0.02409,USD/tonne/km,"REAL (2026-09-22): derived from an official FOIS freight-calculator quote (fois.indianrail.gov.in) for Paradip-Rourkela, 497km, BOXN wagon, Coking Coal, Train Load Class 145A rake mode, incl. GST, at ~Rs96/USD. Used to extend port_to_plant_rail.csv's Bokaro/Bhilai rows via their own real distances. Applied to every port-plant pair in port_to_plant_rail.csv (distance x this rate) except the two exact FOIS quotes.",real_verified_fois_quote
cargo_intake_utilisation,0.95,fraction of dwt_max,"Cargo a bulk carrier can actually lift per voyage after bunkers, fresh water, stores and constant - 93-96% of deadweight is the usual intake for a loaded bulk voyage; used to split a cargo into voyages (ADDED 2026-09-24)",typical_industry_range
vlsfo_usd_per_tonne_per_brent_usd,7.6,USD/tonne per USD/bbl,"VLSFO bunker price as a multiple of Brent: VLSFO has traded at roughly 7-8x the Brent price per barrel (e.g. ~USD 600/t at ~USD 80/bbl, Ship & Bunker Singapore averages) - estimate",estimate
vlsfo_fallback_usd_per_tonne,600,USD/tonne,Used only when no Brent price is loaded,estimate
service_speed_knots,13.5,knots,Laden service speed used to turn sea-route distance into days (same basis as origin_transit_days.csv),industry_typical
geared_extra_discharge_tpd,8000,tonnes/day,"Extra discharge rate when a geared ship works its own 4 cranes alongside shore mobile harbour cranes or floating cranes (4 cranes x ~2,000 t/day) - estimate",estimate
sublet_commission_pct,3.75,percent,Address plus brokerage commission deducted when reletting a time-chartered ship (typical 1.25% + 2.5%),industry_typical
origin_base_wait_days,1.5,days,Typical wait at the loading terminal in a normal month; scaled up when IMF PortWatch shows it busier than a year ago - estimate,estimate
