from_port,to_port,to_lon,to_lat,cargo,vessel_class,freight_usd_per_tonne,load_rate_tpd,discharge_rate_tpd,port_costs_usd_per_call,data_confidence,source
Paradip,Qingdao,120.32,36.07,Iron ore fines and pellets,Handysize,22,25000,30000,55000,estimate,"East-coast India to China iron ore is the main backhaul for ships discharging on the east coast; Supramax rates on this lane ran in the high-teens to mid-twenties USD/t in firm markets (S&P Global, 'Firm Supramax rates force East Coast India iron ore, pellet cargoes on Capesizes', 2021). Handysize priced a few dollars above Supramax - estimate"
Paradip,Qingdao,120.32,36.07,Iron ore fines and pellets,Supramax,18,25000,30000,60000,estimate,"S&P Global 2021 (see Handysize row): Supramax is the main size on this lane - estimate of a mid-market rate"
Paradip,Qingdao,120.32,36.07,Iron ore fines and pellets,Panamax,14,30000,30000,70000,estimate,"Panamax takes part cargoes of pellets on this lane when Supramax is tight (S&P Global 2021) - estimate"
Paradip,Qingdao,120.32,36.07,Iron ore fines and pellets,Post-Panamax,13,30000,30000,75000,estimate,"Interpolated between Panamax and Capesize - estimate"
Paradip,Qingdao,120.32,36.07,Iron ore fines and pellets,Capesize,11,35000,40000,90000,estimate,"Only a few east-coast ports load Capesizes (Paradip's 18 m channel); S&P Global 2021 reports iron ore and pellet cargoes moving onto Capesizes - estimate"
Visakhapatnam,Qingdao,120.32,36.07,Iron ore fines and pellets,Handysize,22,25000,30000,55000,estimate,"Vizag's ore berths export iron ore and pellets (Visakhapatnam Port Authority) - rates as Paradip, estimate"
Visakhapatnam,Qingdao,120.32,36.07,Iron ore fines and pellets,Supramax,18,25000,30000,60000,estimate,"As Paradip - estimate"
Visakhapatnam,Qingdao,120.32,36.07,Iron ore fines and pellets,Panamax,14,30000,30000,70000,estimate,"As Paradip - estimate"
Visakhapatnam,Qingdao,120.32,36.07,Iron ore fines and pellets,Post-Panamax,13,30000,30000,75000,estimate,"As Paradip - estimate"
Visakhapatnam,Qingdao,120.32,36.07,Iron ore fines and pellets,Capesize,11,35000,40000,90000,estimate,"As Paradip - estimate"
Gangavaram,Qingdao,120.32,36.07,Iron ore fines and pellets,Supramax,18,25000,30000,60000,estimate,"Gangavaram handles iron ore alongside coal (GEM wiki) - rates as Paradip, estimate"
Gangavaram,Qingdao,120.32,36.07,Iron ore fines and pellets,Panamax,14,30000,30000,70000,estimate,"As Paradip - estimate"
Gangavaram,Qingdao,120.32,36.07,Iron ore fines and pellets,Post-Panamax,13,30000,30000,75000,estimate,"As Paradip - estimate"
Gangavaram,Qingdao,120.32,36.07,Iron ore fines and pellets,Capesize,11,35000,40000,90000,estimate,"As Paradip - estimate"
Gangavaram,Qingdao,120.32,36.07,Iron ore fines and pellets,Handysize,22,25000,30000,55000,estimate,"As Paradip - estimate"
Dhamra,Qingdao,120.32,36.07,Iron ore fines and pellets,Handysize,22,25000,30000,55000,estimate,"Dhamra exports iron ore and pellets from Odisha mines (Adani Ports) - rates as Paradip, estimate"
Dhamra,Qingdao,120.32,36.07,Iron ore fines and pellets,Supramax,18,25000,30000,60000,estimate,"As Paradip - estimate"
Dhamra,Qingdao,120.32,36.07,Iron ore fines and pellets,Panamax,14,30000,30000,70000,estimate,"As Paradip - estimate"
Dhamra,Qingdao,120.32,36.07,Iron ore fines and pellets,Post-Panamax,13,30000,30000,75000,estimate,"As Paradip - estimate"
Dhamra,Qingdao,120.32,36.07,Iron ore fines and pellets,Capesize,11,35000,40000,90000,estimate,"As Paradip - estimate"
Haldia,Qingdao,120.32,36.07,Iron ore fines and pellets,Handysize,24,15000,30000,55000,estimate,"Haldia exports iron ore and pellets on smaller ships (river draft); slower loading - estimate"
Haldia,Qingdao,120.32,36.07,Iron ore fines and pellets,Supramax,20,15000,30000,60000,estimate,"As Haldia Handysize - estimate"
Haldia,Qingdao,120.32,36.07,Iron ore fines and pellets,Panamax,16,15000,30000,70000,estimate,"Part-loaded at Haldia's draft - estimate"
Gopalpur,Qingdao,120.32,36.07,Iron ore fines and pellets,Handysize,22,20000,30000,55000,estimate,"Gopalpur exports iron ore (Adani Ports) - rates as Paradip, estimate"
Gopalpur,Qingdao,120.32,36.07,Iron ore fines and pellets,Supramax,18,20000,30000,60000,estimate,"As Paradip - estimate"
Gopalpur,Qingdao,120.32,36.07,Iron ore fines and pellets,Panamax,14,20000,30000,70000,estimate,"As Paradip - estimate"
