port,plant,rail_distance_km,rail_cost_usd_per_tonne,rail_transit_days,data_confidence
Gangavaram,Bhilai Steel Plant,552.58,13.31,3,"distance is Visakhapatnam(VSKP)-Bhilai(BIA) shortest rail route, indiarailinfo.com, used as a proxy since Gangavaram (~15km from Vizag) isn't its own rail junction. Cost = real FOIS-derived rate (USD 0.02409/tonne-km, see Paradip-Rourkela row) x this distance."
Gangavaram,Rourkela Steel Plant,658.0,15.85,2,"distance is VSKP-Rourkela(ROU) shortest rail route, indiarailinfo.com (Gangavaram proxy, see Bhilai row note). Cost derived from real FOIS rate x this distance."
Gangavaram,Durgapur Steel Plant,992.0,23.9,4,"distance is VSKP-Durgapur(DGR) shortest rail route, indiarailinfo.com (Gangavaram proxy). Cost derived from real FOIS rate x this distance."
Gangavaram,Bokaro Steel Plant,937.0,22.57,4,"distance is VSKP-Bokaro Steel City(BKSC) shortest rail route, indiarailinfo.com (Gangavaram proxy). Cost derived from real FOIS rate x this distance."
Gangavaram,IISCO Burnpur,952.14,22.94,4,"distance is VSKP-Asansol(ASN) shortest rail route, indiarailinfo.com, used as a proxy for Burnpur (effectively same urban rail area as Asansol). Cost derived from real FOIS rate x this distance."
Dhamra,Bhilai Steel Plant,798,19.22,3,"ESTIMATED (2026-09-24): distance = straight-line port-to-plant distance x 1.373, the median ratio of rail to straight-line distance over the 16 routes here with sourced rail distances (range 1.22-1.85); cost = that distance x the real FOIS-derived coking-coal rate (cost_assumptions.csv, 0.02409 USD/t-km); transit = distance/250 km a day. Replaces a placeholder that was about half this cost. Replace with a FOIS quote for the exact station pair when available."
Dhamra,Rourkela Steel Plant,452.14,10.89,1,"distance is Bhadrak(BHC)-Rourkela(ROU) shortest rail route, indiarailinfo.com, used as a proxy since Dhamra's nearest major junction is Bhadrak. Cost derived from real FOIS rate x this distance."
Dhamra,Durgapur Steel Plant,435.0,10.48,2,"distance is Bhadrak-Durgapur, single source (mapsofindia.com), not cross-confirmed - moderate confidence, not indiarailinfo-verified like most other rows. Cost derived from real FOIS rate x this distance."
Dhamra,Bokaro Steel Plant,492.0,11.85,2,"distance is Bhadrak-Bokaro Steel City, single search-derived figure, source attribution unclear - moderate confidence. Cost derived from real FOIS rate x this distance."
Dhamra,IISCO Burnpur,390.0,9.4,2,"distance is Bhadrak-Asansol (proxy for Burnpur), sources ranged 390-424km, used the lower/more-cited figure - moderate confidence. Cost derived from real FOIS rate x this distance."
Paradip,Bhilai Steel Plant,934.0,22.5,3,"distance is Paradip-Rourkela (497km) + Rourkela-Bhilai (437km) summed as a proxy for the direct route (not a single verified through-route). Cost/tonne now DERIVED (2026-09-22) from the real FOIS rate on the Paradip-Rourkela row (USD 0.02409/tonne-km) x this composite distance - better grounded than a pure guess, but two removes from verified: the rate is real, the distance is a proxy, and the same per-km rate may not hold exactly on a genuinely different route/zone."
Paradip,Rourkela Steel Plant,497.0,11.97,2,"REAL, EXACT (2026-09-22): user ran the official FOIS freight calculator themselves (fois.indianrail.gov.in) for this exact route - PARADEEP(PRDP) to ROURKELA(ROU), 497km, wagon type BOXN, commodity Coking Coal, Train Load Class 145A (the realistic mode for bulk rake coal shipments, 59 wagons/4017.9t). Real freight rate incl. GST = Rs 1149.44/tonne = USD 11.97/tonne at ~Rs96/USD (2026-09-22 spot rate). This derives a real rate of USD 0.02409/tonne-km, used to extend the Bokaro and Bhilai rows below via the real distances already known for those routes."
Paradip,Durgapur Steel Plant,505,12.17,2,"ESTIMATED (2026-09-24): distance = straight-line port-to-plant distance x 1.373, the median ratio of rail to straight-line distance over the 16 routes here with sourced rail distances (range 1.22-1.85); cost = that distance x the real FOIS-derived coking-coal rate (cost_assumptions.csv, 0.02409 USD/t-km); transit = distance/250 km a day. Replaces a placeholder that was about half this cost. Replace with a FOIS quote for the exact station pair when available."
Paradip,Bokaro Steel Plant,573.0,13.8,2,"distance VERIFIED (indiarailinfo.com). Cost/tonne now DERIVED (2026-09-22) from the real FOIS rate on the Paradip-Rourkela row (USD 0.02409/tonne-km) x this route's real distance - same commodity/wagon-type/rake-mode assumption as the source quote, but not itself a separate FOIS lookup, so treat as a strong estimate rather than an independently verified quote."
Paradip,IISCO Burnpur,519,12.5,2,"ESTIMATED (2026-09-24): distance = straight-line port-to-plant distance x 1.373, the median ratio of rail to straight-line distance over the 16 routes here with sourced rail distances (range 1.22-1.85); cost = that distance x the real FOIS-derived coking-coal rate (cost_assumptions.csv, 0.02409 USD/t-km); transit = distance/250 km a day. Replaces a placeholder that was about half this cost. Replace with a FOIS quote for the exact station pair when available."
Haldia,Bhilai Steel Plant,855.0,18.69,3,"REAL, EXACT (2026-09-23): ran the official FOIS freight calculator (fois.indianrail.gov.in) for this exact route - HALDIA(HLZ) to M/S. STEEL AUTHORITY OF INDIA LTD. BHILAI STEEL PLANT(BSPC, SAIL's own siding, not a generic town station), 855km, wagon type BOXN, commodity Coking Coal, Train Load Class 145A. Real freight incl. GST = Rs 1794.03/tonne = USD 18.69/tonne at ~Rs96/USD, implying USD 0.02186/tonne-km - close to but not identical to the Paradip-Rourkela-derived USD 0.02409/tonne-km rate used elsewhere, as expected for a different route/zone. Transit days is an estimate (FOIS gives distance/cost, not transit time), set in line with other ~850-950km rows in this file."
Haldia,Rourkela Steel Plant,454,10.94,2,"ESTIMATED (2026-09-24): distance = straight-line port-to-plant distance x 1.373, the median ratio of rail to straight-line distance over the 16 routes here with sourced rail distances (range 1.22-1.85); cost = that distance x the real FOIS-derived coking-coal rate (cost_assumptions.csv, 0.02409 USD/t-km); transit = distance/250 km a day. Replaces a placeholder that was about half this cost. Replace with a FOIS quote for the exact station pair when available."
Haldia,Durgapur Steel Plant,283.53,6.83,1,"distance is Haldia(HLZ)-Durgapur(DGR) shortest rail route, indiarailinfo.com. Cost derived from real FOIS rate x this distance."
Haldia,Bokaro Steel Plant,367,8.84,1,"ESTIMATED (2026-09-24): distance = straight-line port-to-plant distance x 1.373, the median ratio of rail to straight-line distance over the 16 routes here with sourced rail distances (range 1.22-1.85); cost = that distance x the real FOIS-derived coking-coal rate (cost_assumptions.csv, 0.02409 USD/t-km); transit = distance/250 km a day. Replaces a placeholder that was about half this cost. Replace with a FOIS quote for the exact station pair when available."
Haldia,IISCO Burnpur,323.51,7.79,1,"distance is Haldia-Asansol(ASN) shortest rail route, indiarailinfo.com, proxy for Burnpur. Cost derived from real FOIS rate x this distance."
Visakhapatnam,Bhilai Steel Plant,552.58,13.31,3,"distance is Visakhapatnam(VSKP)-Bhilai(BIA) shortest rail route, indiarailinfo.com - this is the EXACT station (VSKP = Visakhapatnam Junction), not a proxy. Cost derived from real FOIS rate x this distance."
Visakhapatnam,Rourkela Steel Plant,658.0,15.85,2,"distance is VSKP-Rourkela(ROU) shortest rail route, indiarailinfo.com. Cost derived from real FOIS rate x this distance."
Visakhapatnam,Durgapur Steel Plant,992.0,23.9,4,"distance is VSKP-Durgapur(DGR) shortest rail route, indiarailinfo.com. Cost derived from real FOIS rate x this distance."
Visakhapatnam,Bokaro Steel Plant,937.0,22.57,4,"distance is VSKP-Bokaro Steel City(BKSC) shortest rail route, indiarailinfo.com. Cost derived from real FOIS rate x this distance."
Visakhapatnam,IISCO Burnpur,952.14,22.94,4,"distance is VSKP-Asansol(ASN) shortest rail route, indiarailinfo.com, proxy for Burnpur (same urban rail area as Asansol). Cost derived from real FOIS rate x this distance."
Gopalpur,Bhilai Steel Plant,590,14.21,2,"ESTIMATED (2026-09-24): distance = straight-line port-to-plant distance x 1.373, the median ratio of rail to straight-line distance over the 16 routes here with sourced rail distances (range 1.22-1.85); cost = that distance x the real FOIS-derived coking-coal rate (cost_assumptions.csv, 0.02409 USD/t-km); transit = distance/250 km a day. Replaces a placeholder that was about half this cost. Replace with a FOIS quote for the exact station pair when available."
Gopalpur,Rourkela Steel Plant,606.0,14.6,2,"distance is Brahmapur/Berhampur(BAM)-Rourkela, used as proxy since Gopalpur's nearest junction is Berhampur. Sources conflicted (307km vs 606km) - used 606km as the more geographically plausible figure, but flagged moderate confidence, not indiarailinfo-clean like the Vizag/Haldia rows. Cost derived from real FOIS rate x this distance."
Gopalpur,Durgapur Steel Plant,729,17.56,3,"ESTIMATED (2026-09-24): distance = straight-line port-to-plant distance x 1.373, the median ratio of rail to straight-line distance over the 16 routes here with sourced rail distances (range 1.22-1.85); cost = that distance x the real FOIS-derived coking-coal rate (cost_assumptions.csv, 0.02409 USD/t-km); transit = distance/250 km a day. Replaces a placeholder that was about half this cost. Replace with a FOIS quote for the exact station pair when available."
Gopalpur,Bokaro Steel Plant,691,16.65,3,"ESTIMATED (2026-09-24): distance = straight-line port-to-plant distance x 1.373, the median ratio of rail to straight-line distance over the 16 routes here with sourced rail distances (range 1.22-1.85); cost = that distance x the real FOIS-derived coking-coal rate (cost_assumptions.csv, 0.02409 USD/t-km); transit = distance/250 km a day. Replaces a placeholder that was about half this cost. Replace with a FOIS quote for the exact station pair when available."
Gopalpur,IISCO Burnpur,698.0,16.81,3,"distance is Berhampur-Asansol (proxy for Burnpur), indiarailinfo 'shortest' figure cited amid a noisier 698-756km range - moderate confidence. Cost derived from real FOIS rate x this distance."
